,area,cluster,cluster_name,keyword,x,y,count,color
106,ar\vr,0.0,Кластер 0,written conflict fabulous,2.991167386692041,7.106798807182176,1443,#ff7f0e
108,ar\vr,0.0,Кластер 0,reservations linking,10.195602423153172,12.259495712252914,751,#ff7f0e
107,ar\vr,0.0,Кластер 0,interfaces neutral,10.443533250200693,13.809914970161072,586,#ff7f0e
109,ar\vr,0.0,Кластер 0,committees parallel,6.735259814980754,3.613982972088637,173,#ff7f0e
110,ar\vr,1.0,Кластер 1,postcards looked republic detector,10.474474222223218,6.220011967033064,1397,#2ca02c
112,ar\vr,1.0,Кластер 1,michael tobacco,6.21087987032822,12.721263957780877,1007,#2ca02c
111,ar\vr,1.0,Кластер 1,filling volunteers academics,10.83391995827724,8.652736658281233,773,#2ca02c
113,ar\vr,1.0,Кластер 1,celtic automation,12.197275202219137,4.723751417014398,715,#2ca02c
116,ar\vr,2.0,Кластер 2,enquiries implementation,3.5807179798861632,8.089951461567338,1249,#d62728
115,ar\vr,2.0,Кластер 2,previously standing languages commands,14.668088782019147,8.467136440992878,889,#d62728
114,ar\vr,2.0,Кластер 2,bangkok mining fascinating,5.084247153929448,13.480030560991166,682,#d62728
120,ar\vr,3.0,Кластер 3,announces independent,0.3819861215457754,7.675411781516552,1669,#9467bd
118,ar\vr,3.0,Кластер 3,reload athletics,6.020944311198539,4.355278024864925,1189,#9467bd
119,ar\vr,3.0,Кластер 3,several animated,11.451222272176462,6.641685483781745,260,#9467bd
33,available,0.0,Кластер 0,containers raises,11.553724046234848,14.838972733370907,1901,#ff7f0e
32,available,0.0,Кластер 0,engage gazette,13.577055720514515,14.56834807581583,1694,#ff7f0e
31,available,0.0,Кластер 0,michael tobacco oriented,2.5345406683668465,7.201312159374234,1433,#ff7f0e
34,available,0.0,Кластер 0,mobiles sensor,14.91661915530759,5.807535729499952,426,#ff7f0e
35,available,1.0,Кластер 1,signed reception,9.560871377586924,6.234035288942436,1793,#2ca02c
36,available,1.0,Кластер 1,collectables departments,11.166086848701768,12.985122559024818,1247,#2ca02c
37,available,1.0,Кластер 1,correctly washing trauma,0.8546094748233873,2.8545670858213916,910,#2ca02c
38,available,1.0,Кластер 1,minerals reception,5.198257488228374,14.817618017689076,907,#2ca02c
40,available,2.0,Кластер 2,copyright crossword,3.542366816013352,10.48899638751125,1404,#d62728
39,available,2.0,Кластер 2,announces independent coaching travelers,8.701704539276447,12.305153970991967,1041,#d62728
42,available,2.0,Кластер 2,optimal artificial orders complicated,13.203286304999212,14.374205517890555,1037,#d62728
41,available,2.0,Кластер 2,disposition layout,0.9908708935514388,6.513206893783746,454,#d62728
44,available,3.0,Кластер 3,logging suggested,13.843937050502952,9.688188173044628,1749,#9467bd
45,available,3.0,Кластер 3,offset cnetcom applying,9.557026726459265,3.4572979889185995,649,#9467bd
43,available,3.0,Кластер 3,exports closing supported,11.399484980573028,4.206470020157055,401,#9467bd
17,capability,0.0,Кластер 0,amended mailed analyzed,3.3625394484922424,7.862178589057771,1184,#ff7f0e
16,capability,0.0,Кластер 0,tunnel lyrics,14.182495753536584,11.241094130877395,1013,#ff7f0e
19,capability,0.0,Кластер 0,bouquet beyond indian,9.681401994089915,4.886067287286476,203,#ff7f0e
18,capability,0.0,Кластер 0,postcards looked,8.760002088812167,5.090565770201748,114,#ff7f0e
23,capability,1.0,Кластер 1,filter substances,2.4327938686529222,4.840058228742469,1532,#2ca02c
20,capability,1.0,Кластер 1,interfaces neutral,0.1341074960113791,12.515576283697598,1047,#2ca02c
21,capability,1.0,Кластер 1,finishing vanilla,1.024451205622567,7.3790401213355254,683,#2ca02c
22,capability,1.0,Кластер 1,thomson veterans,2.4456493169339977,6.577019046472794,563,#2ca02c
26,capability,2.0,Кластер 2,transmitted australian,5.655112351423575,5.853697603739591,1986,#d62728
25,capability,2.0,Кластер 2,massage sufficiently,5.894114141694302,7.635234264470194,1703,#d62728
24,capability,2.0,Кластер 2,approximately defense,14.27775939095446,0.3976214750666285,813,#d62728
27,capability,2.0,Кластер 2,minerals precipitation voyeurweb,10.401335785389543,12.11758463166844,763,#d62728
29,capability,3.0,Кластер 3,education evidence,12.353595633491,0.7269788262356514,1949,#9467bd
28,capability,3.0,Кластер 3,mortality decide,12.261041729159382,4.0716830744657715,1928,#9467bd
30,capability,3.0,Кластер 3,batteries nipples,7.501518596438325,8.184505216288963,411,#9467bd
184,dialog,0.0,Кластер 0,overcome delight office,10.949312475456034,1.2492693330331217,1628,#ff7f0e
182,dialog,0.0,Кластер 0,several animated,10.283693879202058,0.319009363382321,779,#ff7f0e
183,dialog,0.0,Кластер 0,engage gazette,11.477025441063144,10.481796814453466,724,#ff7f0e
185,dialog,0.0,Кластер 0,moderate command signals,14.42199702637498,3.1553559438669634,721,#ff7f0e
186,dialog,1.0,Кластер 1,interpretation connections,4.40935196976166,7.83528480199408,1981,#2ca02c
189,dialog,1.0,Кластер 1,coalition integration,5.788946647324101,14.868504058930684,1967,#2ca02c
187,dialog,1.0,Кластер 1,optimal artificial orders,0.2119180556316774,6.87886105659619,1934,#2ca02c
188,dialog,1.0,Кластер 1,cycling adaptive,8.712821498651497,2.055921147961711,387,#2ca02c
194,dialog,2.0,Кластер 2,publicity mongolia,0.6198922494279718,2.6815031446239224,1839,#d62728
191,dialog,2.0,Кластер 2,battery pregnant,2.9802642416987384,12.879143957932204,1198,#d62728
192,dialog,2.0,Кластер 2,packed italia,0.3254690519317743,1.1517746789802608,1125,#d62728
190,dialog,2.0,Кластер 2,effectiveness baskets,10.594599565450634,5.158338677646641,208,#d62728
196,dialog,3.0,Кластер 3,programmer cardiovascular billion,10.044007761183837,14.561639955522216,1058,#9467bd
197,dialog,3.0,Кластер 3,russell indonesian,13.975340175090906,1.38214261242753,506,#9467bd
0,eligibility,0.0,Кластер 0,several animated buried,5.772341707768705,12.564796257345005,1260,#ff7f0e
3,eligibility,0.0,Кластер 0,dynamics directly,9.980149264692514,6.281427914064545,1146,#ff7f0e
1,eligibility,0.0,Кластер 0,singles unusual buyers,14.829279864186246,7.8507285727125815,866,#ff7f0e
2,eligibility,0.0,Кластер 0,hawaiian directive,11.381855832287467,3.8981370219558604,163,#ff7f0e
7,eligibility,1.0,Кластер 1,payday oriental,8.035719882567493,2.9656951192720844,1501,#2ca02c
5,eligibility,1.0,Кластер 1,knives everybody,5.607191826999559,13.155189236409358,1377,#2ca02c
4,eligibility,1.0,Кластер 1,decision surgeons montreal,3.2839396214346106,4.39674063521296,823,#2ca02c
6,eligibility,1.0,Кластер 1,lighting observe,11.419919070509494,3.1617111286924686,281,#2ca02c
8,eligibility,1.0,Кластер 1,vampire injured,5.247682515198207,0.7791614555083071,139,#2ca02c
10,eligibility,2.0,Кластер 2,heavily responsible,4.783522116296197,7.172434500682598,309,#d62728
12,eligibility,2.0,Кластер 2,celtic automation,5.539904224439553,3.5805593604528685,281,#d62728
11,eligibility,2.0,Кластер 2,alternative homeless,14.927879392242405,10.281612538543575,129,#d62728
13,eligibility,3.0,Кластер 3,creativity bloggers,13.893232193861431,2.5133519530949426,1817,#9467bd
14,eligibility,3.0,Кластер 3,cowboy arthritis,3.598983438264777,12.968220386038821,23,#9467bd
200,except,0.0,Кластер 0,overcome delight office,8.74135159524577,4.786921536998376,1438,#ff7f0e
201,except,0.0,Кластер 0,helpful arctic minimal,13.627015386368791,0.09267876986654155,1145,#ff7f0e
198,except,0.0,Кластер 0,coalition integration compute,11.949990483867316,6.969744011534154,749,#ff7f0e
199,except,0.0,Кластер 0,retirement privilege recovered beijing,11.357374694757114,10.289412705061812,723,#ff7f0e
203,except,1.0,Кластер 1,announces independent latter senator,2.260566517654452,14.127058369926104,1960,#2ca02c
202,except,1.0,Кластер 1,optimal artificial orders concrete,1.228862884381875,14.663274183442766,1815,#2ca02c
205,except,1.0,Кластер 1,polish removable,5.8759778642890295,0.44477856435468255,639,#2ca02c
204,except,1.0,Кластер 1,listings finally,9.071063103984532,13.337536513771608,404,#2ca02c
209,except,2.0,Кластер 2,jacksonville tomatoes alberta,6.760797985654888,10.922626188848891,1968,#d62728
206,except,2.0,Кластер 2,massage sufficiently,0.5545155682803887,8.939527512253177,1106,#d62728
208,except,2.0,Кластер 2,justin thailand inspection,9.711229411240636,10.17858008664234,347,#d62728
207,except,2.0,Кластер 2,showed replacing,6.640619244922221,7.116760736111267,85,#d62728
212,except,3.0,Кластер 3,spread presidential,14.097552209063767,9.872502093614697,1250,#9467bd
210,except,3.0,Кластер 3,missions introduced,8.042422305010062,5.6234585253908165,987,#9467bd
211,except,3.0,Кластер 3,subscribers member,10.046830233744728,3.4130625495955567,778,#9467bd
216,greetings,0.0,Кластер 0,updating occurred,3.539446091701723,8.207082203036407,965,#ff7f0e
213,greetings,0.0,Кластер 0,caution target,12.468228588030552,12.33106798195205,634,#ff7f0e
214,greetings,0.0,Кластер 0,publicity mongolia,6.737205741733811,10.32607989591264,68,#ff7f0e
215,greetings,0.0,Кластер 0,effectiveness baskets,6.1284426103306044,14.331784141672365,65,#ff7f0e
